"lambda","nu","T0","replacements","without"
1,1,100,49.92,0.500228686694904
3,1,100,24.72,0.251512060363472
5,1,100,16.85,0.16861471782443
1,3,100,24.97,0.733799045515863
3,3,100,16.48,0.488515892292651
5,3,100,12.21,0.364735089732064
1,5,100,16.64,0.782054565019919
3,5,100,12.14,0.577807874784221
5,5,100,9.85,0.47049545130362
1,1,200,98.51,0.498480860300312
3,1,200,50.1,0.251349775489789
5,1,200,33.07,0.16592385512856
1,3,200,49.43,0.733947862215803
3,3,200,33.29,0.488810894222529
5,3,200,24.92,0.365147333348966
1,5,200,33.66,0.805579028569147
3,5,200,24.46,0.620732265603792
5,5,200,20.44,0.466499724016176
