"lambdas","nus","vars"
1,1,2.01427437879434
1,2,5.08217204307642
1,3,9.73653204683586
1,4,17.2479653357031
1,5,25.7506921282386
1,6,37.9592393133076
1,7,48.4502326062603
1,8,66.468960959209
1,9,78.9158875593076
1,10,93.8624153418547
2,1,4.94459991070839
2,2,7.84166982776829
2,3,12.6914048474057
2,4,20.6023853457957
2,5,29.2474967889161
2,6,40.8084801976105
2,7,53.2507763799859
2,8,69.2586409265987
2,9,82.8936767521085
2,10,102.411351783981
3,1,9.86311341669809
3,2,12.7665826900946
3,3,17.6272792960184
3,4,25.4133093033345
3,5,34.4417213385908
3,6,44.963225946889
3,7,58.941130373052
3,8,74.5884040898621
3,9,94.7270254681299
3,10,112.599208180724
4,1,16.9062978927274
4,2,20.1514535033667
4,3,24.5244865359365
4,4,31.7242686987925
4,5,40.5204116374113
4,6,51.1566513864834
4,7,66.6414702384385
4,8,80.2768579305724
4,9,99.7738345121053
4,10,111.315985412434
5,1,25.3638494716297
5,2,29.5713274404295
5,3,35.0922701132102
5,4,40.9526909433632
5,5,50.2222791672097
5,6,61.1299421623747
5,7,74.3079099992774
5,8,89.3204027915969
5,9,106.27705691137
5,10,127.804779949759
6,1,36.6737686754974
6,2,40.4971269417799
6,3,47.7680485340161
6,4,49.9595647696846
6,5,62.1699229331146
6,6,73.9057808194086
6,7,87.6139632042046
6,8,101.145342689044
6,9,115.031712289228
6,10,139.896587537478
7,1,49.8765863442257
7,2,51.7165617666276
7,3,58.7703376462512
7,4,61.5477933377111
7,5,71.3109706351732
7,6,84.6314577132711
7,7,98.704425651609
7,8,116.639257804218
7,9,130.147466662249
7,10,142.451365966656
8,1,63.6083260750792
8,2,67.9698067935938
8,3,72.5477387673059
8,4,78.0093396378657
8,5,91.4064995198203
8,6,98.1975330017594
8,7,110.096225274341
8,8,132.29003869006
8,9,154.928030767201
8,10,160.576575322972
9,1,85.155467009398
9,2,84.7247660542718
9,3,84.78840225518
9,4,97.0687407886646
9,5,102.133995279835
9,6,115.991537035621
9,7,131.5344919254
9,8,143.635414514682
9,9,164.955140629537
9,10,186.700321171299
10,1,101.407051510124
10,2,113.159482383489
10,3,111.900013122113
10,4,120.393811564078
10,5,127.82072330006
10,6,132.467635674503
10,7,153.610203873466
10,8,168.236587214905
10,9,183.243865495168
10,10,205.711208322905
